,SMILES,logS,y2,y3
sample_332,CCCCCCOC(N)=O,-1.92,10.412538055650254,15.448233264873814
sample_333,CN(C)c1ccccc1,-1.92,6.147265769798748,-2.2665573214022627
sample_334,CCC(=O)Nc1ccccc1,-1.92,14.507066692744173,-17.11640831725255
sample_335,CC(=O)OCCC(C)C,-1.92,8.76380033213599,22.038754352615573
sample_336,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93,29.66330207263135,1.6091208041180827
sample_337,OC(c1ccccc1)C(O)c1ccccc1,-1.93,4.096499117960277,-22.28372768725885
sample_338,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-1.94,-4.228972472228327,-13.402496422319762
sample_339,Cc1ccc2ccc(C)nc2c1,-1.94,9.239316204606462,-15.96669711493906
sample_340,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,-9.166654681195984,-0.02433515709790207
sample_341,COc1ccccc1[N+](=O)[O-],-1.96,25.099823838687463,1.5648884025868404
sample_342,O=C(O)C=Cc1c[nH]cn1,-1.96,20.445744050556733,11.042526820842749
sample_343,CCC(C)Cl,-1.96,-2.8994778086145616,23.074101233444278
sample_344,Nc1ccccc1[N+](=O)[O-],-1.96,21.36308793241977,-5.12314286481177
sample_345,C1=CCC=CC1,-1.97,-19.987937664013746,6.725407163567081
sample_346,Oc1ccc2c(c1)CCCC2,-1.99,8.967474332852582,6.300530769492503
sample_347,CC(Cl)(Cl)Cl,-2.0,-10.637051960633082,15.767054086374294
sample_348,Cc1ccccc1S(N)(=O)=O,-2.02,12.234719924817973,-2.6708071916616785
sample_349,CCCCCl,-2.03,0.9675051241435213,18.35472092176748
sample_350,CCCCCCC(C)=O,-2.05,5.65060736772344,12.515078018880624
sample_351,CNC(=O)Oc1ccccc1OC(C)C,-2.05,13.03410647005504,6.5064629824442965
sample_352,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06,-10.962357140705622,-15.553313708669116
sample_353,C=C(C(=O)O)c1ccccc1,-2.06,21.411578777282678,-8.523395259791563
sample_354,C=C(C)C1CC=C(C)C(=O)C1,-2.06,5.787255778616324,15.638686625587528
sample_355,Cc1ccccc1C(=O)O,-2.06,24.854868100831908,0.7324452868574378
sample_356,OC1CCN2C1=Nc1ccccc1C2O,-2.07,-3.16641756563461,-4.051288469742057
sample_357,O=C(O)Cc1c[nH]c2ccccc12,-2.07,24.004795584842608,-18.0688980103978
sample_358,Cc1ccc(C(C)C)cc1O,-2.08,12.312310219681908,8.6778625106337
sample_359,CC(=O)Nc1cccc(C)c1,-2.09,18.577197612625096,-10.100784600199518
sample_360,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,6.3604238283206564,-15.722721709546391
sample_361,CC(C)I,-2.09,-21.912604858367715,7.993907987922447
sample_362,C=CCC=C,-2.09,-1.785858710280342,20.23272443551562
sample_363,CCCCCCC(C)O,-2.09,7.267439422134473,28.708228796703835
sample_364,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,-2.09,-43.92063669272948,-1.6660590390377852
sample_365,OCc1c(Cl)cccc1Cl,-2.1,4.325624094636116,-6.581575388016117
sample_366,CCCCC(CC)CO,-2.11,3.402357202212415,30.979944088762128
sample_367,O=C(O)c1ccccc1C(=O)O,-2.11,19.184445579933538,-0.21149197073707868
sample_368,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.12,-13.333687675914177,-3.128708036311966
sample_369,Sc1ccccc1,-2.12,3.8467305010290094,-11.00635120889595
sample_370,Nc1ncnc2[nH]cnc12,-2.12,10.101297414738834,-1.6441617497616114
sample_371,CN1CSC(=S)N(C)C1,-2.13,-9.684806936230569,13.680120499425998
sample_372,Cc1cccc(C(=O)O)c1,-2.14,26.872346150845782,1.515305422809791
sample_373,O=c1ccc2ccccc2[nH]1,-2.14,23.220246154134564,-33.99397361149186
sample_374,CC(C)CNC(=O)N1CCNC1=O,-2.15,-6.357251807360639,10.93434109678937
sample_375,C1=CC=CCC=C1,-2.15,-11.896454859045212,2.8396129670355275
sample_376,O=C(O)COc1ccccc1Cl,-2.16,21.74945214749898,0.1845426532372983
sample_377,Oc1ccc2ncccc2c1,-2.16,28.48148762201908,-8.10653680937171
sample_378,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,-4.461236565557259,1.179227852827339
sample_379,CCOc1ccc(NC(N)=O)cc1,-2.17,14.698396305508492,8.636230086520646
sample_380,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.18,8.097450447379817,-21.118429399481826
sample_381,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,-2.18,-2.5900473299564246,-0.6831856087624142
sample_382,ClCC(Cl)(Cl)Cl,-2.18,-11.56320205739051,4.65232898970884
sample_383,O=[N+]([O-])c1ccc(C=NO)o1,-2.19,23.632912617997057,18.373435892937284
sample_384,Nc1cccc([N+](=O)[O-])c1,-2.19,18.99535137259041,-7.466437639612752
sample_385,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21,2.7227136018112454,3.4063173859519345
sample_386,Cc1ccccc1,-2.21,8.708847057392838,-5.959318748242735
sample_387,O=C(O)C(O)(c1ccccc1)c1ccccc1,-2.21,10.44581350671365,-23.332743921162564
sample_388,Oc1cccc2ccccc12,-2.22,21.832662782558273,-26.38426633401661
sample_389,Cc1ccc(C(C)C)c(O)c1,-2.22,13.192168255090087,8.984249435904594
sample_390,CC(Oc1ccccc1Cl)C(=O)O,-2.22,21.678208465173046,3.623388317768138
sample_391,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,7.3917064613044925,35.03503625351888
sample_392,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,2.18363578204048,1.4002883963467425
sample_393,Cc1cc(Cl)ccc1OCC(=O)O,-2.23,21.06935119136438,9.16057204163213
sample_394,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,-1.016620672782644,10.74661750197381
sample_395,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24,-5.472030310582004,-14.656858450681172
sample_396,CC(=O)Nc1ccccc1O,-2.24,22.746210743725154,2.0919029987013373
sample_397,O=c1cc[nH]c(=S)[nH]1,-2.26,16.463292051350574,-5.9425480033529645
sample_398,Oc1ccc2ccccc2c1,-2.28,22.970129618001508,-18.433326774949908
sample_399,O=C1NC(=O)C([N+](=O)[O-])C(=O)N1,-2.28,5.114312752646634,5.002767005723291
sample_400,CCCI,-2.29,-13.162812906062367,14.324480173723845
sample_401,CCCCCCCC(=O)O,-2.3,10.011710780267489,15.620197895579338
sample_402,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3,-14.599346005838333,4.130950741303406
sample_403,Fc1cc(F)c(F)c(F)c1,-2.31,1.1934262173105452,-45.07809675886084
sample_404,ClC(Cl)(Cl)Cl,-2.31,-18.061013735583227,7.825673580508264
sample_405,CCOC(=O)c1ccccc1,-2.32,19.021483381352816,-3.878589403361405
sample_406,CC1(C)C2CCC1(C)C(O)C2,-2.32,-10.928328219273752,24.930189535679816
sample_407,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32,-2.2962057416096213,-33.46183773145657
sample_408,CCCOC(=O)c1ccc(N)cc1,-2.33,10.207838294248402,1.8902612404243726
sample_409,NNC(=O)Nc1ccccc1,-2.33,19.447750658122814,4.549455918604591
sample_410,COC(=O)c1ccccc1O,-2.34,27.120843412355946,3.690255023693336
sample_411,Oc1c(Cl)cc(Cl)cc1Cl,-2.34,8.458416943347428,-9.925080908574852
sample_412,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.34,8.428664387753372,-20.619084046164918
sample_413,CCc1cccc(CC)c1N,-2.35,3.5244215810083053,-1.376701852940575
sample_414,CCOC(=O)c1ccccc1C(=O)OCC,-2.35,13.81577475250707,4.035572390650741
sample_415,CCOC(=O)c1ccc(O)cc1,-2.35,19.04729644520482,14.003047981384118
sample_416,CCCCCCCC=O,-2.36,4.77316304822905,11.941257894020255
sample_417,C#CCCCC,-2.36,9.502286910395705,31.806171961421583
sample_418,CN(C)C(=O)NC1CCCCCCC1,-2.36,-18.405315055831935,-1.508893565555367
sample_419,CSc1ncnc2nccnc12,-2.36,-0.07734996663746381,-7.012752440713726
sample_420,S=c1ncc2nccnc2[nH]1,-2.36,6.262431738644211,-8.523648608855389
sample_421,CCOc1ccc(NC(C)=O)cc1,-2.37,14.767644577229087,4.003145415338665
sample_422,CCCCBr,-2.37,-6.886229311263608,12.17037594458422
sample_423,Clc1ccccc1,-2.38,8.472080861907855,-13.442884515006423
sample_424,ClCC(Br)CBr,-2.38,-20.213325289813103,-6.418766390954759
sample_425,N#Cc1ccccc1C#N,-2.38,8.074336430938438,-1.2980041322115707
sample_426,Oc1ncnc2[nH]ncc12,-2.38,18.90783155248636,4.9974927443609385
sample_427,ClCc1ccccc1,-2.39,9.209391328457817,-12.586063761190145
sample_428,Oc1ccccc1-c1ccccc1,-2.39,14.63471079927655,-32.53812194612729
sample_429,CSc1ccccc1,-2.39,4.893639257171619,-2.6535214816373642
sample_430,CCCC(Cl)Cl,-2.4,-1.7016345417403331,11.24835673700362
sample_431,COC(=O)c1ccc(OC)cc1,-2.41,14.25679652180646,3.751487595872932
sample_432,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-2.41,-6.163382205258041,-13.249709026039557
sample_433,COc1ccc([N+](=O)[O-])cc1,-2.41,16.603523760295293,3.335053678351309
sample_434,Cc1c[nH]c2ccccc12,-2.42,18.137822439754725,-10.293407746450624
sample_435,CC(C)CBr,-2.43,-12.536128879459328,14.60343954195521
sample_436,Cc1cc(=O)[nH]c(=S)[nH]1,-2.43,13.5771529878408,-5.140003675182021
sample_437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43,-2.5334606029851736,-22.977532206983568
sample_438,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.43,5.710293383089351,-12.158813631231899
sample_439,Cc1cccc([N+](=O)[O-])c1,-2.44,19.668587626333395,-6.003471916335573
sample_440,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,-2.44,-2.144338090659211,-5.9835850935096975
sample_441,Cc1cnc(S)nc1O,-2.45,12.547106642801879,11.488802658492649
sample_442,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,-2.45,15.275356795769216,0.3951556091165316
sample_443,Nc1cc(Cl)cc(C(=O)O)c1Cl,-2.47,22.41409341734334,-7.763751201457808
sample_444,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.48,9.893635362349153,0.5759993493692463
sample_445,O=C(O)C=Cc1ccccc1,-2.48,23.987108287511557,-7.206560141757366
sample_446,CC(C)N(C(=O)CCl)c1ccccc1,-2.48,14.883835070245482,-9.085850762875113
sample_447,O=C(O)COc1ccc(Cl)cc1Cl,-2.51,14.883862078588047,-3.4604451875148374
sample_448,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52,-10.523469523707814,-0.9834111333584693
sample_449,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52,2.1247355013325135,4.126339497833229
sample_450,COc1cc(Cl)c(Cl)cc1O,-2.53,9.1149751251305,-3.0849935984770407
sample_451,CC=CCC,-2.54,4.893198807400711,26.186781463066385
sample_452,Fc1ccc(CCl)cc1,-2.54,9.709657481484545,-18.81193286423776
sample_453,Oc1cccc2ncccc12,-2.54,25.813442253473934,-11.886508110602913
sample_454,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54,0.8930095704381712,-7.298564375111883
sample_455,Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.55,20.23231683436471,12.209231452162896
sample_456,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56,9.271369046709298,-10.01161245661971
sample_457,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57,-4.237317075972848,9.655430668584724
sample_458,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.58,-4.360285445006244,-7.616222194035776
sample_459,CCCCCCCC(C)=O,-2.58,2.37772394274381,12.647386572569713
sample_460,C1=CCCCC1,-2.59,-12.05754159254115,17.931581082362616
sample_461,O=C(O)c1cccc(Cl)c1,-2.59,26.231474750179235,-4.641812856255164
sample_462,CCc1cccs1,-2.59,14.957441514535947,12.603506297480232
sample_463,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,-2.6,-13.62544194796384,-35.56946519479144
sample_464,ClC(Cl)C(Cl)(Cl)Cl,-2.6,-12.514978908614625,5.5182936863711
sample_465,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6,1.0885311460459086,1.0661385842653384
sample_466,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,-2.61,17.46751103930367,-21.114544951999672
sample_467,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.62,2.741803288434132,-8.454140267139492
sample_468,CCCCCCCOC(N)=O,-2.62,6.976905057844918,15.459092174971579
sample_469,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.62,-2.0202359681410136,-8.997926080176317
sample_470,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,-2.63,-14.288604924242676,22.977927469306614
sample_471,CCC(=O)c1ccc(N)cc1,-2.63,13.377807784489434,-7.316020686891388
sample_472,CCCC(C)Cl,-2.63,-0.650290088769241,21.071863636767425
sample_473,C1CCCC1,-2.64,-19.711365169278203,7.370790831924295
sample_474,CN(C)CCN(Cc1ccccc1)c1ccccn1,-2.64,-12.238922163836577,-16.792881342808165
sample_475,CN(C)CCN(Cc1cccs1)c1ccccn1,-2.64,-10.471933799296716,-1.5987139582734373
sample_476,O=C(O)Cc1cccc2ccccc12,-2.65,26.60447012361513,-27.089598773847545
sample_477,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,-2.68,-2.8925640801621184,-17.145028615694006
sample_478,C=CCCC=C,-2.68,-5.456897207795846,21.691781079873603
sample_479,C=CCCC,-2.68,8.315101262759656,26.878198489246994
sample_480,c1cnc2c(c1)ccc1ncccc12,-2.68,8.78139403133364,-31.419205788865337
sample_481,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69,10.606511822752763,-9.744647716410048
sample_482,CC(Cl)C(C)(C)Cl,-2.69,-2.513290458396225,26.710427004313722
sample_483,CC(Cl)C(C)Cl,-2.7,-10.388195250517521,13.068025506648338
sample_484,Nc1ccc(-c2ccc(N)cc2)cc1,-2.7,-4.985254221509122,-24.40566938222538
sample_485,NCCCCCCCCCCC(=O)O,-2.7,-5.217522686058061,26.079247405728545
sample_486,CCCCCCC(=O)OCC,-2.71,6.838021393101721,16.72244111577677
sample_487,CCOc1ccc(C(=O)OCCN(CC)CC)cc1,-2.71,-6.561089955923318,17.165735931588667
sample_488,CCCCOC(=O)c1ccc(O)cc1,-2.72,15.033201593252144,13.278704632837918
sample_489,O=C(O)c1ccccc1I,-2.73,16.395492750351337,-8.337446138268756
sample_490,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,6.726986507021854,4.624463998572767
sample_491,CCCCCCl,-2.73,-0.009372019604184373,17.42416527251371
sample_492,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-2.74,-1.2925025024578145,0.39428718104672256
sample_493,CCCCCCCCC(=O)O,-2.75,6.868429756645676,15.887857542951728
sample_494,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-2.75,17.59234078200974,-10.817709902817441
sample_495,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76,-15.037848133385152,10.160038291181142
sample_496,S=c1[nH]cnc2nccnc12,-2.77,5.190637302758576,-10.69967543865572
sample_497,c1ccc2c(c1)cnc1ccccc12,-2.78,10.23677407465771,-42.8417668573929
sample_498,Cc1cc(O)cc(C)c1Cl,-2.8,14.36635477970591,12.101408694216135
sample_499,Cc1ccccc1C,-2.8,-1.4565882104646695,-1.0367107751568274
sample_500,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,9.921336276512335,-15.129383168872621
sample_501,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,4.752661221541614,-27.815179698150438
sample_502,Cc1cccc(C)c1,-2.82,1.9543658493167624,-4.418380196422216
sample_503,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-2.82,-47.69262445229057,-12.524766211614024
sample_504,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.82,-9.898702700495171,-22.691273574310454
sample_505,CC(=O)Nc1ccc(Cl)cc1,-2.84,10.272806807568916,-15.43033369633052
sample_506,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85,-2.0251298626160947,-17.513129102565085
sample_507,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-2.86,-13.692558364481947,12.083637404630895
sample_508,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,-2.86,-5.554393057552868,11.120954310990138
sample_509,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,-2.87,-12.076476842931692,5.260370727300483
sample_510,Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.87,14.494465855101636,-25.27841918619685
sample_511,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-2.88,-12.403749279223039,3.9509782517005765
sample_512,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,1.7779951497504378,-17.554345922499987
sample_513,CC(C)CCBr,-2.89,-10.048462785899051,15.318913449896705
sample_514,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,-2.91,-4.5868204843807625,-7.129098419646991
sample_515,Oc1cccc2c(O)cccc12,-2.92,8.365034765744449,-15.317312952452832
sample_516,C=CCc1ccc(OC)cc1,-2.92,19.49299041344024,18.099602995159536
sample_517,NC(=O)c1ccccc1C(N)=O,-2.92,14.2615401482883,-12.965527330006179
sample_518,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,-0.8604270331304222,-1.4906012917213127
sample_519,COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1,-2.93,21.109279188569506,-14.05419791344902
sample_520,CCCCI,-2.96,-9.88186262304712,12.009405528533895
sample_521,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,-2.96,0.10400306512804403,-7.409433826504735
sample_522,CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.98,5.038666729976226,-40.32483425060327
sample_523,CCOC(=O)C=Cc1ccccc1,-3.0,18.203794591022064,-4.932473025514094
sample_524,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,3.588666586486084,-20.126835509756106
sample_525,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,-3.0,-6.28351157312186,-1.3087307658591683
sample_526,CCCCCCCCCO,-3.01,-7.000599359208008,22.950251808947076
sample_527,CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.01,-18.845224449491973,14.549972521072382
sample_528,C#CCCCCC,-3.01,8.298775325361765,28.96386971117427
sample_529,CCCCc1c(C)nc(NCC)nc1O,-3.02,1.035441501909007,15.469509748596076
sample_530,CCN(CC)c1ccccc1,-3.03,0.37680648658390864,-0.8144192107882628
sample_531,CC(C)Cc1ccc(C(C)C(=O)NO)cc1,-3.04,6.302431099386488,5.674439036870548
sample_532,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,-16.387911117203988,20.700483064026287
sample_533,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-3.05,-0.5320098167326975,-16.723480908104786
sample_534,CCCCNC(=O)NS(=O)(=O)c1ccccc1,-3.05,3.155033270913084,-9.575593393317801
sample_535,Clc1ccccc1Cl,-3.05,-3.881138513201496,-15.371006464125571
sample_536,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.07,-16.603583826827826,-7.720324975294787
sample_537,CCCCCBr,-3.07,-8.070285444048135,11.517203329354778
sample_538,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.08,13.907880538364301,-12.94705782997296
sample_539,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,-3.09,-16.576655322229684,-7.642331424906953
sample_540,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09,1.4456052963229167,3.8784576643657864
sample_541,CCc1ccc(C)cc1,-3.11,2.6228815269960477,-3.7883539030205773
sample_542,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,-22.095809855046888,16.042035490921418
sample_543,CCCCCCCl,-3.12,-0.22844406190157657,15.311732607239817
sample_544,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-3.12,-7.8764217168276085,11.133581640288678
sample_545,CCCCN(CCCC)CCCC,-3.12,-15.647162333079967,50.01386623145747
sample_546,FC(F)(Cl)C(F)(F)Cl,-3.12,-9.700246434322183,10.324054276628011
sample_547,C=CCOC(=O)c1ccccc1C(=O)OCC=C,-3.13,10.89940016513331,0.8706794032497981
sample_548,CC=Cc1ccc(OC)cc1,-3.13,17.148496699560393,12.76635740271391
sample_549,Fc1ccc(I)cc1,-3.13,-0.8458686813304839,-23.395889644791446
sample_550,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,-3.14,-12.013644069994097,18.31343893137798
sample_551,BrC(Br)(Br)Br,-3.14,-56.90729144314663,7.382172135955912
sample_552,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,-3.14,-20.333354801111238,-0.5269169669285142
sample_553,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14,2.4197150080541574,-13.507355898902375
sample_554,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15,-1.8983720984570644,20.56183808368617
sample_555,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,-1.3552594453804012,-42.91251724627855
sample_556,O=C(Oc1ccccc1)c1ccccc1O,-3.15,20.546363503862842,-22.508613564979896
sample_557,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-3.18,-14.34637610233891,4.735080499754556
sample_558,Sc1nc2ccccc2s1,-3.18,8.919746181370028,-19.808479812663013
sample_559,CCCCC,-3.18,-7.30536120052402,16.01817198865226
sample_560,Cc1cccc(C)c1C,-3.2,-1.5200883937058187,5.24191266069049
sample_561,Clc1cccc(Br)c1,-3.21,6.2290051204797745,-20.66115475554726
sample_562,CCc1ccccc1C,-3.21,7.015013686654813,-0.3843391434174574
sample_563,O=C(O)C(c1ccccc1)c1ccccc1,-3.22,14.71571267389202,-35.4220043154179
sample_564,IC=CI,-3.22,-26.668008826133278,-19.00519006357581
sample_565,C=CCCCC,-3.23,8.705470973544013,27.979960122800808
sample_566,Nc1ccc(Cl)c(Cl)c1,-3.24,6.21372342268755,-9.10305154709009
sample_567,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.24,-4.892797357742119,-6.998182884606351
sample_568,CC(=O)Nc1ccc(I)cc1,-3.25,1.08919388803221,-20.830774406954628
sample_569,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,5.976885459735079,-2.635074364239594
sample_570,CCCCCOC(=O)c1ccc(N)cc1,-3.26,3.60177264880081,-0.3554324249495759
sample_571,COC(=O)c1cc(Cl)cc(N)c1Cl,-3.26,15.25537322958456,-10.216510932311232
sample_572,CCCCCNCCOC(=O)c1ccc(N)cc1,-3.27,-6.496656240577178,10.438701857409155
sample_573,O=C(O)c1cccc(I)c1,-3.27,14.766034155619513,-10.213526168940204
sample_574,CC1=CCCCC1,-3.27,3.227709900173866,25.91829755508823
sample_575,CC(C)c1ccccc1,-3.27,-0.2744684533411602,-8.388772017933059
sample_576,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-3.28,-2.224552068804937,-8.256312857852544
sample_577,CNC(=O)Oc1cccc2ccccc12,-3.28,19.29970246347268,-32.240353232231236
sample_578,CC1CCCC1,-3.3,-6.9557432347101384,18.57924910141038
sample_579,Cc1occc1C(=O)Nc1ccccc1,-3.3,15.134083935247666,-17.18405327079965
sample_580,O=C(O)c1cc(I)cc(I)c1O,-3.31,6.460077034476231,-4.687103956669905
sample_581,O=C(O)c1ccc(Cl)cc1,-3.31,19.71957146942894,-3.857469637129625
sample_582,CCCCCCCCC(C)=O,-3.31,-0.6029857505707422,12.984434964893428
sample_583,Cc1ccc(C)c(C)c1,-3.31,2.3648482218689995,0.8406897210780689
sample_584,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32,-39.62676073619718,-23.54064959562102
sample_585,N#Cc1cc(Br)c(O)c(Br)c1,-3.33,-3.387968822727581,-4.7828783380634405
sample_586,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,-3.35,-8.932869351093396,-6.246508080187701
sample_587,c1ccc2c(c1)ccc1ncccc12,-3.36,11.676690531470813,-41.40918222219788
sample_588,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,0.744869456250821,14.093950552463813
sample_589,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,-3.37,-42.91564413923792,60.855181519975886
sample_590,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.37,17.54557704085303,-3.58463910912804
sample_591,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-3.37,-15.121898165262326,10.064831840300972
sample_592,CCCc1ccccc1,-3.37,6.125658924777495,-7.839443131442599
sample_593,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,8.490599762934963,-27.719258775965653
sample_594,CCCCCCCC(=O)OC,-3.39,5.078383344731138,12.993530620689295
sample_595,C=C(Cl)CSC(=S)N(CC)CC,-3.39,-8.700846424251006,15.337914885294774
sample_596,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,-3.39,-0.3234341102137124,-5.794807164060435
sample_597,CN(C)CCC=C1c2ccccc2COc2ccccc21,-3.4,-10.488322415631627,-24.85906597689415
sample_598,C=CCCCCCCCCC(=O)O,-3.4,4.532493319253263,25.625014051176795
sample_599,Cc1cc(C)cc(C)c1,-3.4,-9.702721347689808,-2.1852626366668675
sample_600,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,-1.277700846510416,19.717133920233447
sample_601,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,-23.63586743942094,19.216288574303007
sample_602,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,9.025731556898204,-21.3653865662422
sample_603,CCCCCCCCCC(=O)O,-3.44,3.444765670957678,17.04151983528361
sample_604,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,2.5557899689290915,18.62908937209166
sample_605,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48,-29.11517674685217,-7.821556145398129
sample_606,CCCCOC(=O)c1ccccc1,-3.48,13.27982465870859,-6.0860244548990785
sample_607,Oc1ccc(-c2ccccc2)cc1,-3.48,12.875517040031214,-23.991645896789343
sample_608,Brc1ccccc1Br,-3.5,-14.025087594346017,-19.15113490124504
